State,Year,EVs_per_1000_forecast_panel_baseline,Outlets_per_100k_proj
New Hampshire,2025,49.68939337519942,1182.9383258405658
New Hampshire,2026,238.90613659286527,6235.349695965938
New Hampshire,2027,1234.479727965739,32866.959317896544
New Hampshire,2028,6480.416012095158,173244.0147668291
New Jersey,2024,17.016332968555766,209.22110229122606
New Jersey,2025,50.82935034981924,1102.8188943276168
New Jersey,2026,227.25915926265526,5813.034633538447
New Jersey,2027,1155.4319359114795,30640.90742779657
New Jersey,2028,6046.093865987971,161510.34135974225
New Mexico,2024,10.463924522235072,172.70673307963062
New Mexico,2025,38.449306441363355,910.3491298535255
New Mexico,2026,184.1612459494655,4798.513198920637
New Mexico,2027,950.4180093374738,25293.294808685532
New Mexico,2028,4987.6094397237575,133322.7055461642
New York,2024,15.60177623922383,296.8109289743637
New York,2025,63.39399115620246,1564.5109261504333
New York,2026,313.50911670820636,8246.645251582026
New York,2027,1630.0822914730636,43468.63723909924
New York,2028,8568.029571430308,229126.19201873898
North Carolina,2024,12.31151117447862,203.6503054629449
North Carolina,2025,45.23543820994661,1073.4548391180365
North Carolina,2026,216.97879044432233,5658.2546684939625
North Carolina,2027,1120.4489299506474,29825.051531593388
North Carolina,2028,5880.901551873573,157209.90852802407
North Dakota,2024,7.380038664922412,139.61822918850558
North Dakota,2025,30.084547798120592,735.937338325096
North Dakota,2026,147.960641767288,3879.176588107132
North Dakota,2027,767.4927389350012,20447.407976290397
North Dakota,2028,4031.288310110002,107779.70104033774
Ohio,2024,9.839519838321891,162.84810703384326
Ohio,2025,36.25148066343014,858.3836304065769
Ohio,2026,173.66980880912007,4524.599458787984
Ohio,2027,896.2103733409197,23849.476547878567
Ohio,2028,4702.970697309922,125712.23967749288
Oklahoma,2024,10.96392498664617,176.78828343742865
Oklahoma,2025,39.60071587487808,931.8632639606284
Oklahoma,2026,188.74627709319373,4911.915687142812
Oklahoma,2027,973.1018978934245,25891.047163995747
Oklahoma,2028,5105.693656933734,136473.49953561247
Oregon,2024,24.077299375961726,395.3004755044268
Oregon,2025,87.58828984352397,2083.6561348202736
Oregon,2026,420.5581680138805,10983.09553671544
Oregon,2027,2173.864471854656,57892.655871945724
Oregon,2028,11413.862267984632,305156.19141284784
Pennsylvania,2024,10.811305428300123,173.8299644720173
Pennsylvania,2025,38.975953297677314,916.269760175517
Pennsylvania,2026,185.63281602279272,4829.7212506607175
Pennsylvania,2027,956.8703350133623,25457.794606923897
Pennsylvania,2028,5020.315672516945,134189.7953550967
