State,Year,EVs_per_1000_forecast_panel_acc,Outlets_per_100k_proj
Michigan,2027,1038.9718118260723,27665.71374598872
Michigan,2028,5558.176908260484,148594.46115249876
Minnesota,2024,11.712701624942465,186.2540156276178
Minnesota,2025,42.556189746804236,1000.3831942954215
Minnesota,2026,206.37558735142423,5373.1272963776955
Minnesota,2027,1084.4177878547716,28859.438171002887
Minnesota,2028,5798.600039324689,155006.03756538904
Mississippi,2024,5.9405501925006465,100.5533856826018
Mississippi,2025,22.786113281345184,540.0791860911959
Mississippi,2026,111.42168781052216,2900.802645965976
Mississippi,2027,585.6463768679525,15580.411553616763
Mississippi,2028,3130.896857114392,83683.46758013885
Missouri,2024,11.874720055685522,233.85810246939212
Missouri,2025,50.4936287235097,1256.0680357514216
Missouri,2026,256.0753476211733,6746.42825618124
Missouri,2027,1358.4258629576088,36235.532566969974
