State,Year,EVs_per_1000_arima
Nevada,2024,14.8628586853336
Nevada,2025,14.865954374844145
Nevada,2026,14.86603660199392
Nevada,2027,14.86603878609673
Nevada,2028,14.866038844110477
New Hampshire,2024,7.112459147752559
New Hampshire,2025,7.113785289928907
New Hampshire,2026,7.1138190320857975
New Hampshire,2027,7.11381989061603
New Hampshire,2028,7.1138199124603405
New Jersey,2024,14.500879423488207
New Jersey,2025,14.50421666208801
New Jersey,2026,14.504302777191556
New Jersey,2027,14.50430499933146
New Jersey,2028,14.504305056672223
New Mexico,2024,4.881819132551531
New Mexico,2025,4.882270501987416
New Mexico,2026,4.882278339525604
New Mexico,2027,4.8822784756159106
New Mexico,2028,4.8822784779789705
New York,2024,6.700406362294749
New York,2025,6.701387292457883
New York,2026,6.701407317953472
New York,2027,6.70140772677001
New York,2028,6.701407735115919
North Carolina,2024,6.5106756009969375
North Carolina,2025,6.5122715315929245
North Carolina,2026,6.512314573500122
North Carolina,2027,6.512315734331163
North Carolina,2028,6.512315765638529
North Dakota,2024,1.2798006123537162
North Dakota,2025,1.2801110872240715
North Dakota,2026,1.2801188303975066
North Dakota,2027,1.2801190235105104
North Dakota,2028,1.2801190283267052
Ohio,2024,4.294429550182523
Ohio,2025,4.295174989756219
Ohio,2026,4.2951923956147215
Ohio,2027,4.295192802037886
Ohio,2028,4.295192811527782
Oklahoma,2024,5.654313275538957
Oklahoma,2025,5.655547923330266
Oklahoma,2026,5.655582635490367
Oklahoma,2027,5.655583611423801
Oklahoma,2028,5.6555836388622
Oregon,2024,15.290580708148156
Oregon,2025,15.296151348889959
Oregon,2026,15.29635733277869
Oregon,2027,15.296364949382307
Oregon,2028,15.296365231019143
Pennsylvania,2024,5.439414082280019
Pennsylvania,2025,5.440669318756904
Pennsylvania,2026,5.44070301095185
Pennsylvania,2027,5.440703915294595
Pennsylvania,2028,5.440703939568341
Rhode Island,2024,5.834951790850436
Rhode Island,2025,5.835594676095578
Rhode Island,2026,5.835606535374219
Rhode Island,2027,5.835606754141862
Rhode Island,2028,5.83560675817746
South Carolina,2024,3.9042421716755973
South Carolina,2025,3.904718360034494
South Carolina,2026,3.904727383531969
South Carolina,2027,3.9047275545220934
South Carolina,2028,3.9047275577622584
South Dakota,2024,1.8489610929608242
South Dakota,2025,1.8489708247214358
South Dakota,2026,1.8489707831046551
South Dakota,2027,1.8489707832826245
South Dakota,2028,1.8489707832818634
Tennessee,2024,4.672156735616456
Tennessee,2025,4.672658407962698
Tennessee,2026,4.672667494228258
Tennessee,2027,4.672667658798265
Tennessee,2028,4.6726676617789495
Texas,2024,7.550597172719338
Texas,2025,7.552124338375395
Texas,2026,7.552161782303446
Texas,2027,7.552162700375263
Texas,2028,7.552162722885077
Utah,2024,11.690519884577254
Utah,2025,11.692127470214048
Utah,2026,11.692162634183452
Utah,2027,11.69216340335227
Utah,2028,11.692163420176897
Vermont,2024,12.132455721878733
Vermont,2025,12.135519243457669
Vermont,2026,12.135605698120303
Vermont,2027,12.135608137929685
Vermont,2028,12.135608206782765
Virginia,2024,9.831440375139012
Virginia,2025,9.835328319854503
Virginia,2026,9.83546380449684
Virginia,2027,9.835468525780101
Virginia,2028,9.835468690304399
Washington,2024,19.591601828034737
Washington,2025,19.6007143128442
Washington,2026,19.601069391283563
Washington,2027,19.60108322732288
Washington,2028,19.60108376646005
West Virginia,2024,1.5927247262803745
West Virginia,2025,1.5929724603524933
West Virginia,2026,1.592977917548245
West Virginia,2027,1.5929780377617677
West Virginia,2028,1.5929780404098843
Wisconsin,2024,4.233623554604279
Wisconsin,2025,4.234415742450833
Wisconsin,2026,4.234433712769958
Wisconsin,2027,4.234434120416163
Wisconsin,2028,4.234434129663379
Wyoming,2024,1.876947096003154
Wyoming,2025,1.8769670937131762
